,Internal ID,ID,Name,Duplicate,Category,Company Name,Is Individual,Sales Rep,Status,Territory,Lead Source,Partner,Start Date,End Date,Reminder Days,Date Created,Last Modified,Primary Contact,Phone,Email,Fax,Alt. Contact,Office Phone,Comments,Billing Address 1,Billing Address 2,Billing City,Billing State/Province,Billing Zip,Billing Country,Shipping Address,Billing Address,Account,Login Access,Terms,Price Level,Taxable,Tax Item,Resale Number,Balance,Unbilled Orders,Credit Limit,Overdue Balance,Days Overdue,On Credit Hold,Override Credit Hold Off,First Name,Last Name,Date of First Sale,Prospect Date,Reminder Days,County,Shipping Item
1889,2993,2050,Dr. Gary Lee,,Physican,Dr. Gary Lee,No,"Hughes, Allen",CUSTOMER-Closed Won,No County - Kim,,,,,,3/16/12 16:19,3/16/12 16:19,,801-974-5555,,,,,,4091 South Redwood Rd.,,Salt Lake City,UT,84123,United States,Dr. Gary Lee 4091 South Redwood Rd. Salt Lake City UT 84123,Dr. Gary Lee 4091 South Redwood Rd. Salt Lake City UT 84123,,No,,,Yes,,,0,0,,0,,No,No,,,3/16/12, ,,,
1890,1734,994,Kip Phifer,,Physican,,Yes,,CUSTOMER-Closed Won,,,,,,,6/14/11 14:11,2/17/12 11:24,,423-903-2304,,,,,,2158 N. Park Lane,Suite 102,Chattanooga,TN,37415,United States,Rehab South Kip Phifer 2158 N. Park Lane Suite 102 Chattanooga TN 37415,Rehab South Kip Phifer 2158 N. Park Lane Suite 102 Chattanooga TN 37415,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,Kip,Phifer,6/14/11, ,,,
1891,2209,1387,Paula Rothman,,Physican,,Yes,,CUSTOMER-Closed Won,,,,,,,9/21/11 15:07,9/28/11 11:24,,770-512-7550,,,,,,7141 Hunters Branch Ct,,Atlanta,GA,30328,United States,Paula Rothman PT 7141 Hunters Branch Ct Atlanta GA 30328,Paula Rothman PT 7141 Hunters Branch Ct Atlanta GA 30328,,No,Net 30,List Price,Yes,,,0,0,,0,,No,No,Paula,Rothman,9/22/11, ,,,
1892,2112,1310,Neuhaus Foot and Ankle,,Podiatrist,Neuhaus Foot and Ankle,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,8/31/11 12:52,9/8/11 8:55,,615-220-8788,,615-220-8688,,,,300 Stonecrest Blvd Ste 350,,Smyrna,TN,37167,United States,Neuhaus Foot and Ankle 300 Stonecrest Blvd Ste 350 Smyrna TN 37167,Neuhaus Foot and Ankle 300 Stonecrest Blvd Ste 350 Smyrna TN 37167,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,9/1/11, ,,,
1,440,6,TN Test,,Chiropractor,TN Test,No,"Hales, Kim",CUSTOMER-Closed Won,,,,6/29/10,,,6/16/10 8:53,12/10/10 9:11,,,,,,,,123 this street,,Ooltewah,TN,37363,United States,TN Test 123 this street Ooltewah TN 37363,TN Test 123 this street Ooltewah TN 37363,,No,Net 30,,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,, ,,,
2,640,116,Mcintyre Family Chiropractic,,Chiropractor,Mcintyre Family Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,8/25/10,,,8/25/10 11:53,8/19/11 14:29,,770-952-9664,,,,,,1275 Powers Ferry Rd. Suite 300,,Marietta,GA,30067,United States,Dr. Sean McIntyre Mcintyre Family Chiropractic 1275 Powers Ferry Rd. Suite 300 Marietta GA 30067,Dr. Sean McIntyre Mcintyre Family Chiropractic 1275 Powers Ferry Rd. Suite 300 Marietta GA 30067,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,6/3/11,8/25/10 11:53,,,
3,654,127,Dr Don Duff,,Chiropractor,Dr Don Duff,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,8/27/10 10:05,7/11/11 14:14,,423-238-4118,,423-238-6565,,,,5121 Ooltewah-Ringgold Road,,Ooltewah,TN,37363,United States,Dr. Don Duff Collegedale Chiropractic 5121 Ooltewah-Ringgold Road Ooltewah TN 37363,Dr. Don Duff Collegedale Chiropractic 5121 Ooltewah-Ringgold Road Ooltewah TN 37363,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,8/26/10, ,,,
4,695,155,Total Health Connection,,Chiropractor,Total Health Connection,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,10/18/10,,,9/13/10 10:20,2/13/12 19:52,,423-396-2100,,,,,,"9413 Apison Pike, Suite 108",,Ooltewah,TN,37363,United States,"Dr. Donald Shelby Total Health Connection 9413 Apison Pike, Suite 108 Ooltewah TN 37363","Dr. Donald Shelby Total Health Connection 9413 Apison Pike, Suite 108 Ooltewah TN 37363",,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,73.58,0,,0,0,No,No,,,9/13/10, ,,,
5,717,175,Twilley Chiropractic,,Chiropractor,Twilley Chiropractic,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,9/20/10 9:21,2/13/12 19:55,,423-899-6941,,,,,,4830 Highway 58 North,,Chattanooga,TN,37416,United States,Twilley Chiropractic 4830 Highway 58 North Chattanooga TN 37416,Twilley Chiropractic 4830 Highway 58 North Chattanooga TN 37416,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,86.32,0,,0,0,No,No,,,9/20/10, ,,,
6,751,199,"Scott Chiropractic Center, P.C.",,Chiropractor,"Scott Chiropractic Center, P.C.",No,"Patella, William J",CUSTOMER-Closed Won,,,,10/5/10,,,10/5/10 16:13,7/11/11 14:14,,770-972-9160,,,,,,2200 Fountain Drive,,Snellville,GA,30078,United States,"Jane R. Scott, D.C. DACNB Scott Chiropractic Center, P.C. 2200 Fountain Drive Snellville GA 30078","Jane R. Scott, D.C. DACNB Scott Chiropractic Center, P.C. 2200 Fountain Drive Snellville GA 30078",,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,10/6/10,10/5/10 16:13,,,
7,761,209,CLINICAL NUTRITION CENTER,,Chiropractor,CLINICAL NUTRITION CENTER,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,10/8/10 17:39,7/11/11 14:14,,423-643-2277,CHIROSHAWN@YAHOO.COM,423-643-2666,,,,6290 VANCE RD,STE 100,Chattanooga,TN,37421,United States,CHATTANOOGA CHIRO 6290 VANCE RD STE 100 Chattanooga TN 37421,CHATTANOOGA CHIRO 6290 VANCE RD STE 100 Chattanooga TN 37421,,No,Net 30,Tru-Blu Price,No,TN_HAMILTON CO,,0,0,,0,,No,No,,,11/5/10, ,,,
8,769,217,Aspinwall Chiropractic,,Chiropractor,Aspinwall Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,10/13/10 13:11,8/16/11 13:22,,706-884-8360,,,,,,302 South Greenwood St.,,Lagrange,GA,30240,United States,Margie Aspinwall Chiropractic 302 South Greenwood St. Lagrange GA 30240,Margie Aspinwall Chiropractic 302 South Greenwood St. Lagrange GA 30240,,No,Net 30,Tru-Blu Price,Yes,,,822.54,0,,0,0,No,No,,,10/15/10, ,,,
9,782,227,North River Chiropractic,,Chiropractor,North River Chiropractic,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,10/19/10 13:19,2/13/12 20:01,,423-875-8222,,423-875-0348,,,,4810-D Hixson Pike,,Hixson,TN,37343,United States,Nancy Reinhart North River Chiropractic 4810-D Hixson Pike Hixson TN 37343,Nancy Reinhart North River Chiropractic 4810-D Hixson Pike Hixson TN 37343,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,584.65,0,,584.65,202,No,Yes,,,10/19/10, ,,,
10,785,230,Willing Family Chiropractic,,Chiropractor,Willing Family Chiropractic,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,10/22/10 14:22,7/11/11 14:14,,423-499-0102,,423-499-9857,,,,PO Box 24415,,Chattanooga,TN,37422,United States,Willing Family Chiropractic 5959 Shallowford Rd Ste 527 Chattanooga TN 37421,Willing Family Chiropractic PO Box 24415 Chattanooga TN 37422,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,10/25/10, ,,,
11,788,233,Dr. Mark Ugell,,Chiropractor,Dr. Mark Ugell,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,10/25/10 11:34,8/16/11 14:31,,770-432-4430,,,,,,1995 Windy Hill Rd,Route 7,Smyrna,GA,30080,United States,Dr. Mark Ugell 1995 Windy Hill Rd Route 7 Smyrna GA 30080,Dr. Mark Ugell 1995 Windy Hill Rd Route 7 Smyrna GA 30080,,No,Net 30,Corporate 2 Price,Yes,,,0,0,,0,,No,No,,,11/1/10, ,,,
12,793,238,Health First Chiropractic,,Chiropractor,Health First Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,10/26/10 9:44,8/17/11 14:10,,770-951-8800,,,,,,2475 Windy Hill Rd.,,Marietta,GA,30067,United States,Virginia Health First Chiropractic 2475 Windy Hill Rd. Marietta GA 30067,Virginia Health First Chiropractic 2475 Windy Hill Rd. Marietta GA 30067,,No,,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,10/26/10, ,,,
13,798,240,McIntrye Chiropractic,,Chiropractor,McIntrye Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,10/27/10 11:04,8/19/11 14:29,,770-952-9664,,,,,,"1275 Powers Ferry Rd,",Suite 300,Marietta,GA,30067,United States,"Kim McIntrye Chiropractic 1275 Powers Ferry Rd, Suite 300 Marietta GA 30067","Kim McIntrye Chiropractic 1275 Powers Ferry Rd, Suite 300 Marietta GA 30067",,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,10/27/10, ,,,
